data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
906	1.23	0.966	0.946	0.981	0.997	1.12	0.979	0.967	0.992	0.998
909	1.22	0.967	0.949	0.983	0.996	1.12	0.979	0.967	0.992	0.998
912	1.22	0.965	0.946	0.980	0.997	1.12	0.979	0.967	0.992	0.998
915	1.18	0.969	0.952	0.982	0.998	1.12	0.979	0.967	0.992	0.998
918	1.19	0.968	0.950	0.983	0.998	1.12	0.979	0.967	0.992	0.998
921	1.19	0.971	0.955	0.984	0.997	1.12	0.979	0.967	0.992	0.998
924	1.22	0.968	0.949	0.984	0.997	1.12	0.979	0.967	0.992	0.998
927	1.21	0.967	0.948	0.986	0.997	1.12	0.979	0.967	0.992	0.998
930	1.19	0.971	0.955	0.984	0.997	1.12	0.979	0.967	0.992	0.998
933	1.17	0.968	0.949	0.985	0.998	1.12	0.979	0.967	0.992	0.998
936	1.17	0.970	0.952	0.986	0.998	1.12	0.979	0.967	0.992	0.998
939	1.19	0.970	0.953	0.984	0.997	1.12	0.979	0.967	0.992	0.998
942	1.19	0.970	0.954	0.982	0.997	1.12	0.979	0.967	0.992	0.998
945	1.21	0.967	0.949	0.984	0.996	1.12	0.979	0.967	0.992	0.998
948	1.18	0.971	0.955	0.983	0.998	1.12	0.979	0.967	0.992	0.998
951	1.18	0.971	0.955	0.984	0.996	1.12	0.979	0.967	0.992	0.998
954	1.16	0.970	0.952	0.987	0.998	1.12	0.979	0.967	0.992	0.998
957	1.17	0.967	0.947	0.986	0.998	1.12	0.979	0.967	0.992	0.998
960	1.16	0.970	0.954	0.983	0.998	1.12	0.979	0.967	0.992	0.998
963	1.21	0.964	0.944	0.980	0.996	1.12	0.979	0.967	0.992	0.998
966	1.19	0.968	0.949	0.980	0.996	1.12	0.979	0.967	0.992	0.998
969	1.17	0.972	0.956	0.983	0.995	1.12	0.979	0.967	0.992	0.998
972	1.19	0.968	0.950	0.986	0.996	1.12	0.979	0.967	0.992	0.998
975	1.18	0.968	0.949	0.983	0.995	1.12	0.979	0.967	0.992	0.998
978	1.17	0.973	0.959	0.983	0.995	1.12	0.979	0.967	0.992	0.998
981	1.20	0.967	0.948	0.984	0.996	1.12	0.979	0.967	0.992	0.998
984	1.17	0.970	0.953	0.984	0.996	1.12	0.979	0.967	0.992	0.998
987	1.21	0.967	0.949	0.980	0.995	1.12	0.979	0.967	0.992	0.998
990	1.17	0.970	0.954	0.984	0.996	1.12	0.979	0.967	0.992	0.998
993	1.20	0.967	0.946	0.983	0.996	1.12	0.979	0.967	0.992	0.998
996	1.19	0.969	0.950	0.985	0.996	1.12	0.979	0.967	0.992	0.998
999	1.19	0.969	0.951	0.985	0.996	1.12	0.979	0.967	0.992	0.998
1002	1.18	0.971	0.952	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1005	1.23	0.966	0.946	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1008	1.21	0.966	0.946	0.982	0.996	1.12	0.979	0.967	0.992	0.998
1011	1.21	0.965	0.946	0.983	0.996	1.12	0.979	0.967	0.992	0.998
1014	1.18	0.968	0.949	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1017	1.17	0.969	0.949	0.986	0.996	1.12	0.979	0.967	0.992	0.998
1020	1.18	0.970	0.952	0.986	0.998	1.12	0.979	0.967	0.992	0.998
1023	1.19	0.969	0.952	0.983	0.996	1.12	0.979	0.967	0.992	0.998
1026	1.18	0.970	0.955	0.985	0.996	1.12	0.979	0.967	0.992	0.998
1029	1.19	0.972	0.955	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1032	1.19	0.971	0.956	0.983	0.996	1.12	0.979	0.967	0.992	0.998
1035	1.22	0.967	0.946	0.984	0.995	1.12	0.979	0.967	0.992	0.998
1038	1.20	0.967	0.947	0.984	0.995	1.12	0.979	0.967	0.992	0.998
1041	1.22	0.968	0.949	0.983	0.996	1.12	0.979	0.967	0.992	0.998
1044	1.20	0.968	0.949	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1047	1.25	0.965	0.946	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1050	1.23	0.967	0.949	0.980	0.995	1.12	0.979	0.967	0.992	0.998
1053	1.21	0.968	0.949	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1056	1.23	0.967	0.949	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1059	1.21	0.970	0.955	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1062	1.22	0.969	0.952	0.982	0.996	1.12	0.979	0.967	0.992	0.998
1065	1.21	0.966	0.947	0.980	0.997	1.12	0.979	0.967	0.992	0.998
1068	1.22	0.965	0.946	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1071	1.18	0.971	0.954	0.984	0.997	1.12	0.979	0.967	0.992	0.998
1074	1.20	0.967	0.948	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1077	1.21	0.967	0.949	0.980	0.995	1.12	0.979	0.967	0.992	0.998
1080	1.19	0.968	0.948	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1083	1.20	0.967	0.949	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1086	1.22	0.966	0.946	0.981	0.995	1.12	0.979	0.967	0.992	0.998
1089	1.23	0.968	0.952	0.982	0.998	1.12	0.979	0.967	0.992	0.998
1092	1.23	0.964	0.943	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1095	1.21	0.966	0.947	0.982	0.996	1.12	0.979	0.967	0.992	0.998
1098	1.19	0.968	0.949	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1101	1.19	0.970	0.952	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1104	1.18	0.970	0.952	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1107	1.20	0.968	0.950	0.982	0.997	1.12	0.979	0.967	0.992	0.998
1110	1.20	0.968	0.951	0.981	0.995	1.12	0.979	0.967	0.992	0.998
1113	1.20	0.969	0.952	0.981	0.996	1.12	0.979	0.967	0.992	0.998
1116	1.20	0.968	0.949	0.985	0.995	1.12	0.979	0.967	0.992	0.998
1119	1.23	0.966	0.947	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1122	1.23	0.966	0.946	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1125	1.23	0.966	0.947	0.981	0.995	1.12	0.979	0.967	0.992	0.998
1128	1.20	0.971	0.956	0.981	0.995	1.12	0.979	0.967	0.992	0.998
1131	1.22	0.968	0.952	0.980	0.997	1.12	0.979	0.967	0.992	0.998
1134	1.24	0.965	0.947	0.977	0.995	1.12	0.979	0.967	0.992	0.998
1137	1.21	0.968	0.949	0.982	0.996	1.12	0.979	0.967	0.992	0.998
1140	1.20	0.968	0.949	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1143	1.22	0.967	0.950	0.980	0.997	1.12	0.979	0.967	0.992	0.998
1146	1.21	0.966	0.949	0.981	0.997	1.12	0.979	0.967	0.992	0.998
1149	1.22	0.967	0.949	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1152	1.25	0.965	0.948	0.977	0.995	1.12	0.979	0.967	0.992	0.998
1155	1.25	0.964	0.944	0.980	0.995	1.12	0.979	0.967	0.992	0.998
1158	1.21	0.969	0.951	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1161	1.19	0.968	0.949	0.985	0.996	1.12	0.979	0.967	0.992	0.998
1164	1.18	0.967	0.949	0.985	0.998	1.12	0.979	0.967	0.992	0.998
1167	1.18	0.969	0.949	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1170	1.18	0.971	0.952	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1173	1.18	0.969	0.949	0.988	0.997	1.12	0.979	0.967	0.992	0.998
1176	1.17	0.969	0.950	0.983	0.998	1.12	0.979	0.967	0.992	0.998
1179	1.20	0.967	0.948	0.983	0.998	1.12	0.979	0.967	0.992	0.998
1182	1.23	0.960	0.935	0.983	0.998	1.12	0.979	0.967	0.992	0.998
1185	1.19	0.969	0.950	0.986	0.998	1.12	0.979	0.967	0.992	0.998
1188	1.19	0.968	0.949	0.987	0.998	1.12	0.979	0.967	0.992	0.998
1191	1.19	0.968	0.949	0.984	0.997	1.12	0.979	0.967	0.992	0.998
1194	1.19	0.967	0.947	0.985	0.998	1.12	0.979	0.967	0.992	0.998
1197	1.19	0.969	0.950	0.984	0.997	1.12	0.979	0.967	0.992	0.998
1200	1.21	0.965	0.946	0.980	0.997	1.12	0.979	0.967	0.992	0.998
1203	1.20	0.967	0.947	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1206	1.21	0.967	0.948	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1209	1.20	0.971	0.956	0.983	0.998	1.12	0.979	0.967	0.992	0.998
1212	1.19	0.969	0.952	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1215	1.19	0.970	0.952	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1218	1.18	0.971	0.953	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1221	1.19	0.970	0.954	0.983	0.996	1.12	0.979	0.967	0.992	0.998
1224	1.22	0.964	0.943	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1227	1.22	0.964	0.942	0.984	0.994	1.12	0.979	0.967	0.992	0.998
1230	1.20	0.968	0.949	0.982	0.997	1.12	0.979	0.967	0.992	0.998
1233	1.22	0.966	0.947	0.981	0.995	1.12	0.979	0.967	0.992	0.998
1236	1.22	0.966	0.946	0.982	0.997	1.12	0.979	0.967	0.992	0.998
1239	1.23	0.963	0.941	0.982	0.997	1.12	0.979	0.967	0.992	0.998
1242	1.21	0.965	0.943	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1245	1.20	0.965	0.945	0.984	0.997	1.12	0.979	0.967	0.992	0.998
1248	1.20	0.967	0.949	0.984	0.997	1.12	0.979	0.967	0.992	0.998
1251	1.20	0.969	0.951	0.984	0.995	1.12	0.979	0.967	0.992	0.998
1254	1.19	0.967	0.948	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1257	1.20	0.968	0.948	0.986	0.996	1.12	0.979	0.967	0.992	0.998
1260	1.21	0.966	0.946	0.986	0.995	1.12	0.979	0.967	0.992	0.998
1263	1.19	0.967	0.947	0.985	0.998	1.12	0.979	0.967	0.992	0.998
1266	1.21	0.968	0.951	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1269	1.21	0.964	0.943	0.985	0.997	1.12	0.979	0.967	0.992	0.998
1272	1.18	0.971	0.955	0.985	0.998	1.12	0.979	0.967	0.992	0.998
1275	1.18	0.969	0.952	0.986	0.998	1.12	0.979	0.967	0.992	0.998
1278	1.20	0.965	0.946	0.981	0.997	1.12	0.979	0.967	0.992	0.998
1281	1.21	0.966	0.947	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1284	1.25	0.962	0.941	0.981	0.996	1.12	0.979	0.967	0.992	0.998
1287	1.21	0.964	0.943	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1290	1.25	0.965	0.946	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1293	1.20	0.968	0.949	0.986	0.996	1.12	0.979	0.967	0.992	0.998
1296	1.22	0.968	0.950	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1299	1.22	0.969	0.952	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1302	1.22	0.967	0.950	0.979	0.994	1.12	0.979	0.967	0.992	0.998
1305	1.21	0.968	0.950	0.982	0.996	1.12	0.979	0.967	0.992	0.998
1308	1.20	0.967	0.949	0.980	0.997	1.12	0.979	0.967	0.992	0.998
1311	1.22	0.963	0.944	0.981	0.996	1.12	0.979	0.967	0.992	0.998
1314	1.23	0.964	0.945	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1317	1.23	0.962	0.940	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1320	1.22	0.963	0.942	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1323	1.24	0.961	0.939	0.982	0.995	1.12	0.979	0.967	0.992	0.998
1326	1.22	0.962	0.942	0.981	0.996	1.12	0.979	0.967	0.992	0.998
1329	1.20	0.964	0.944	0.981	0.998	1.12	0.979	0.967	0.992	0.998
1332	1.22	0.964	0.945	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1335	1.23	0.965	0.947	0.980	0.996	1.12	0.979	0.967	0.992	0.998
1338	1.22	0.963	0.941	0.982	0.996	1.12	0.979	0.967	0.992	0.998
1341	1.21	0.966	0.946	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1344	1.23	0.963	0.943	0.980	0.997	1.12	0.979	0.967	0.992	0.998
1347	1.21	0.967	0.949	0.986	0.997	1.12	0.979	0.967	0.992	0.998
1350	1.21	0.969	0.952	0.985	0.996	1.12	0.979	0.967	0.992	0.998
1353	1.21	0.966	0.947	0.981	0.997	1.12	0.979	0.967	0.992	0.998
1356	1.19	0.965	0.945	0.984	0.997	1.12	0.979	0.967	0.992	0.998
1359	1.19	0.967	0.949	0.984	0.998	1.12	0.979	0.967	0.992	0.998
1362	1.19	0.969	0.952	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1365	1.18	0.968	0.950	0.984	0.998	1.12	0.979	0.967	0.992	0.998
1368	1.21	0.967	0.950	0.980	0.998	1.12	0.979	0.967	0.992	0.998
1371	1.21	0.966	0.949	0.979	0.998	1.12	0.979	0.967	0.992	0.998
1374	1.19	0.967	0.949	0.983	0.998	1.12	0.979	0.967	0.992	0.998
1377	1.19	0.969	0.952	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1380	1.19	0.969	0.952	0.982	0.998	1.12	0.979	0.967	0.992	0.998
1383	1.20	0.968	0.949	0.983	0.997	1.12	0.979	0.967	0.992	0.998
1386	1.21	0.969	0.951	0.984	0.995	1.12	0.979	0.967	0.992	0.998
1389	1.20	0.968	0.949	0.983	0.998	1.12	0.979	0.967	0.992	0.998
1392	1.21	0.967	0.948	0.982	0.997	1.12	0.979	0.967	0.992	0.998
1395	1.22	0.968	0.949	0.983	0.995	1.12	0.979	0.967	0.992	0.998
1398	1.20	0.966	0.947	0.982	0.998	1.12	0.979	0.967	0.992	0.998
1401	1.19	0.967	0.948	0.985	0.999	1.12	0.979	0.967	0.992	0.999
1404	1.21	0.968	0.950	0.983	0.997	1.12	0.979	0.967	0.992	0.999
1407	1.18	0.971	0.954	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1410	1.18	0.968	0.949	0.985	0.997	1.12	0.979	0.967	0.992	0.999
1413	1.19	0.967	0.948	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1416	1.20	0.965	0.946	0.981	0.998	1.12	0.979	0.967	0.992	0.999
1419	1.19	0.966	0.946	0.981	0.998	1.12	0.979	0.967	0.992	0.999
1422	1.18	0.966	0.946	0.982	0.998	1.12	0.979	0.967	0.992	0.999
1425	1.17	0.969	0.950	0.984	0.998	1.12	0.979	0.967	0.992	0.999
1428	1.19	0.966	0.946	0.982	0.998	1.12	0.979	0.967	0.992	0.999
1431	1.23	0.963	0.943	0.979	0.997	1.12	0.979	0.967	0.992	0.999
1434	1.20	0.966	0.947	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1437	1.19	0.967	0.948	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1440	1.19	0.968	0.949	0.983	0.997	1.12	0.979	0.967	0.992	0.999
1443	1.20	0.966	0.944	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1446	1.19	0.967	0.947	0.981	0.999	1.12	0.979	0.967	0.992	0.999
1449	1.19	0.967	0.949	0.981	0.998	1.12	0.979	0.967	0.992	0.999
1452	1.18	0.968	0.949	0.982	0.998	1.12	0.979	0.967	0.992	0.999
1455	1.18	0.969	0.952	0.982	0.998	1.12	0.979	0.967	0.992	0.999
1458	1.18	0.968	0.950	0.983	0.997	1.12	0.979	0.967	0.992	0.999
1461	1.21	0.966	0.947	0.980	0.996	1.12	0.979	0.967	0.992	0.999
1464	1.23	0.967	0.949	0.977	0.995	1.12	0.979	0.967	0.992	0.999
1467	1.17	0.967	0.946	0.986	0.997	1.12	0.979	0.967	0.992	0.999
1470	1.17	0.969	0.951	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1473	1.18	0.968	0.950	0.981	0.998	1.12	0.979	0.967	0.992	0.999
1476	1.20	0.968	0.951	0.981	0.996	1.12	0.979	0.967	0.992	0.999
1479	1.19	0.966	0.946	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1482	1.18	0.968	0.948	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1485	1.18	0.971	0.952	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1488	1.21	0.965	0.943	0.983	0.997	1.12	0.979	0.967	0.992	0.999
1491	1.20	0.968	0.950	0.985	0.998	1.12	0.979	0.967	0.992	0.999
1494	1.18	0.968	0.950	0.983	0.997	1.12	0.979	0.967	0.992	0.999
1497	1.18	0.970	0.952	0.983	0.998	1.12	0.979	0.967	0.992	0.999
1500	1.19	0.966	0.946	0.984	0.998	1.12	0.979	0.967	0.992	0.999
