data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
213	1.37	0.967	0.949	0.984	0.993	1.35	0.972	0.959	0.984	0.995
216	1.39	0.965	0.946	0.983	0.992	1.35	0.972	0.959	0.984	0.995
219	1.37	0.971	0.957	0.983	0.992	1.35	0.972	0.959	0.984	0.995
222	1.37	0.970	0.955	0.984	0.992	1.35	0.972	0.959	0.984	0.995
225	1.37	0.973	0.959	0.987	0.992	1.35	0.973	0.959	0.987	0.995
228	1.36	0.969	0.952	0.984	0.994	1.35	0.973	0.959	0.987	0.995
231	1.30	0.974	0.960	0.987	0.995	1.30	0.974	0.960	0.987	0.995
234	1.31	0.974	0.959	0.987	0.995	1.30	0.974	0.960	0.987	0.995
237	1.26	0.973	0.958	0.988	0.995	1.26	0.974	0.960	0.988	0.995
240	1.25	0.973	0.958	0.986	0.994	1.25	0.974	0.960	0.988	0.995
243	1.25	0.976	0.965	0.986	0.994	1.25	0.976	0.965	0.988	0.995
246	1.28	0.972	0.957	0.986	0.993	1.25	0.976	0.965	0.988	0.995
249	1.24	0.975	0.962	0.986	0.995	1.24	0.976	0.965	0.988	0.995
252	1.28	0.973	0.958	0.986	0.992	1.24	0.976	0.965	0.988	0.995
255	1.23	0.974	0.961	0.988	0.993	1.23	0.976	0.965	0.988	0.995
258	1.19	0.975	0.962	0.990	0.995	1.19	0.976	0.965	0.990	0.995
261	1.23	0.974	0.961	0.987	0.994	1.19	0.976	0.965	0.990	0.995
264	1.19	0.977	0.964	0.989	0.995	1.19	0.977	0.965	0.990	0.995
267	1.19	0.979	0.967	0.992	0.994	1.19	0.979	0.967	0.992	0.995
270	1.19	0.976	0.963	0.989	0.995	1.19	0.979	0.967	0.992	0.995
273	1.19	0.976	0.964	0.989	0.995	1.19	0.979	0.967	0.992	0.995
276	1.18	0.977	0.964	0.989	0.994	1.18	0.979	0.967	0.992	0.995
279	1.21	0.974	0.961	0.987	0.992	1.18	0.979	0.967	0.992	0.995
282	1.19	0.974	0.961	0.987	0.993	1.18	0.979	0.967	0.992	0.995
285	1.19	0.975	0.962	0.986	0.995	1.18	0.979	0.967	0.992	0.995
